date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:44	234630/234630	---M--	200	added ('OK')	image/svg+xml	etag:%2239486-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/dist/themify/fonts/themify.svg?-fvbane	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/dist/themify/fonts/themify9f24.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:19:44	188508/188508	---M--	200	added ('OK')	application/x-font-ttf	etag:%222e05c-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/dist/ion-icons/fonts/ionicons.ttf?v=2.0.0	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/dist/ion-icons/fonts/ionicons28b5.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:19:50	78584/78584	---M--	200	added ('OK')	application/x-font-ttf	etag:%22132f8-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/dist/themify/fonts/themify.ttf?-fvbane	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/dist/themify/fonts/themify9f24.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:05	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2212d68-5798647c9597f%22	http://www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:11	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-5798647c95597%22	http://www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:18	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5798647c95597%22	http://www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:20	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-5798647c951af%22	http://www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:22	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5798647c95597%22	http://www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.eot?	www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:22	2082/2082	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22822-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.eot	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:24	2082/2082	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22822-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.eot?	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icond41d.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:26	1268/1268	---M--	200	added ('OK')	application/font-woff	etag:%224f4-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.woff	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.woff	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:28	1892/1892	---M--	200	added ('OK')	application/x-font-ttf	etag:%22764-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.ttf	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:30	2352/2352	---M--	200	added ('OK')	image/svg+xml	etag:%22930-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.svg	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/framework/js/flexslider/fonts/flexslider-icon.svg	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:32	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%22286ac-5798647c9597f%22	http://www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	www.demo-ninetheme.com/cryptoland/wp-content/plugins/visual_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:43	32100/32100	---M--	200	added ('OK')	application/font-woff	etag:%227d64-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.woff	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.woff	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:44	82182/82182	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2214106-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.eot	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:50	82182/82182	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2214106-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.eot?	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Lightd41d.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:53	81900/81900	---M--	200	added ('OK')	application/x-font-ttf	etag:%2213fec-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.ttf	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/Gilroy-Light/Gilroy-Light.ttf	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
19:20:56	48606/48606	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bdde-5799f1aaf2480%22	http://www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.eot	www.demo-ninetheme.com/cryptoland/wp-content/themes/cryptoland/fonts/RobotoBold/RobotoBold.eot	(from http://www.demo-ninetheme.com/cryptoland/wp-content/cache/minify/93f55.css)
